"Document_ID","Document_Title","Repository_Path","Filename","Version","Status","Owner","Classification","Baseline","Last_Updated","FullPath"
"J","Document J _ Founder Governance, Succession & Deadlock Resolution Charter","01_GOVERNANCE","Document J _ Founder Governance, Succession & Deadlock Resolution Charter.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-04","D:\GoldenWings\01_GOVERNANCE\Document J _ Founder Governance, Succession & Deadlock Resolution Charter.docx"
"K","Document K _ Enterprise Repository Implementation Roadmap","01_GOVERNANCE","Document K _ Enterprise Repository Implementation Roadmap.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\01_GOVERNANCE\Document K _ Enterprise Repository Implementation Roadmap.docx"
"RG","Document RG-001 — Enterprise Repository Governance & Lifecycle Manual","01_GOVERNANCE","Document RG-001 — Enterprise Repository Governance & Lifecycle Manual.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\01_GOVERNANCE\Document RG-001 — Enterprise Repository Governance & Lifecycle Manual.docx"
"","GEN - SOFTWARE SPECIFICATION & DEVELOPMENT GOVERNANCE PLAN","01_GOVERNANCE","GEN - SOFTWARE SPECIFICATION & DEVELOPMENT GOVERNANCE PLAN.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-05","D:\GoldenWings\01_GOVERNANCE\GEN - SOFTWARE SPECIFICATION & DEVELOPMENT GOVERNANCE PLAN.docx"
"","Gen COMPLETE SECURITY & SAFETY FRAMEWORK","01_GOVERNANCE","Gen COMPLETE SECURITY & SAFETY FRAMEWORK.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-04","D:\GoldenWings\01_GOVERNANCE\Gen COMPLETE SECURITY & SAFETY FRAMEWORK.docx"
"","GOLDEN WINGS _ FINAL REPOSITORY STRUCTURE","01_GOVERNANCE","GOLDEN WINGS _ FINAL REPOSITORY STRUCTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\01_GOVERNANCE\GOLDEN WINGS _ FINAL REPOSITORY STRUCTURE.docx"
"A-000","DOCUMENT A-000 Golden Wings Constitution","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-000 Golden Wings Constitution.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-22","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-000 Golden Wings Constitution.docx"
"A-007","DOCUMENT A-007 Brand Architecture","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-007 Brand Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-23","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-007 Brand Architecture.docx"
"A-011","DOCUMENT A-011 GOVERNANCE CHARTER","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-011 GOVERNANCE CHARTER.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-22","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-011 GOVERNANCE CHARTER.docx"
"A-012","DOCUMENT A-012 Service Philosophy","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-012 Service Philosophy.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-22","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-012 Service Philosophy.docx"
"A-013","DOCUMENT A-013 Experience Standards","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-013 Experience Standards.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-22","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-013 Experience Standards.docx"
"A-014","DOCUMENT A-014 SERVICE PORTFOLIO ARCHITECTURE","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-014 SERVICE PORTFOLIO ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-24","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-014 SERVICE PORTFOLIO ARCHITECTURE.docx"
"A-015","DOCUMENT A-015 CLIENT JOURNEY ARCHITECTURE","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-015 CLIENT JOURNEY ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-24","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-015 CLIENT JOURNEY ARCHITECTURE.docx"
"A-016","DOCUMENT A-016 COMMUNITY PHILOSOPHY","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-016 COMMUNITY PHILOSOPHY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-24","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-016 COMMUNITY PHILOSOPHY.docx"
"A-017","DOCUMENT A-017 TRUST & SAFEGUARDING CHARTER","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-017 TRUST & SAFEGUARDING CHARTER.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-24","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-017 TRUST & SAFEGUARDING CHARTER.docx"
"A-018","DOCUMENT A-018 QUALITY & CONTINUOUS IMPROVEMENT CHARTER","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-018 QUALITY & CONTINUOUS IMPROVEMENT CHARTER.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-24","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-018 QUALITY & CONTINUOUS IMPROVEMENT CHARTER.docx"
"A-019","DOCUMENT A-019 PHASE 4 ALIGNMENT & REQUIREMENTS MATRIX","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-019 PHASE 4 ALIGNMENT & REQUIREMENTS MATRIX.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-25","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-019 PHASE 4 ALIGNMENT & REQUIREMENTS MATRIX.docx"
"A-020","DOCUMENT A-020 _ ENTERPRISE DOCUMENT HIERARCHY & AUTHORITY MATRIX","02_CONSTITUTIONAL_FRAMEWORK","DOCUMENT A-020 _ ENTERPRISE DOCUMENT HIERARCHY & AUTHORITY MATRIX.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\02_CONSTITUTIONAL_FRAMEWORK\DOCUMENT A-020 _ ENTERPRISE DOCUMENT HIERARCHY & AUTHORITY MATRIX.docx"
"K","Document K _ ENTERPRISE OPERATING MODEL","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document K _ ENTERPRISE OPERATING MODEL.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-25","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document K _ ENTERPRISE OPERATING MODEL.docx"
"L","Document L _ Service Delivery Architecture","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document L _ Service Delivery Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-25","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document L _ Service Delivery Architecture.docx"
"M","Document M _ Client Lifecycle Architecture","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document M _ Client Lifecycle Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-25","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document M _ Client Lifecycle Architecture.docx"
"N","Document N _ People & Role Architecture","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document N _ People & Role Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-25","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document N _ People & Role Architecture.docx"
"O","Document O _ Decision Rights Matrix","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document O _ Decision Rights Matrix.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-25","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document O _ Decision Rights Matrix.docx"
"P","Document P _ Financial Operations Architecture","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document P _ Financial Operations Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document P _ Financial Operations Architecture.docx"
"Q","Document Q _ Compliance, Risk & Financial Monitoring Architecture","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document Q _ Compliance, Risk & Financial Monitoring Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document Q _ Compliance, Risk & Financial Monitoring Architecture.docx"
"R","Document R _ Risk & Safeguarding Architecture","03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture","Document R _ Risk & Safeguarding Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-25","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.01_Business_Architecture\Document R _ Risk & Safeguarding Architecture.docx"
"S","Document S _ Business Rules Architecture","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document S _ Business Rules Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document S _ Business Rules Architecture.docx"
"T","Document T _ Human-Readable Business Rules Catalogue","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document T _ Human-Readable Business Rules Catalogue.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document T _ Human-Readable Business Rules Catalogue.docx"
"T.1","Document T.1 _ MACHINE-READABLE BUSINESS RULES","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document T.1 _ MACHINE-READABLE BUSINESS RULES.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-27","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document T.1 _ MACHINE-READABLE BUSINESS RULES.docx"
"T.2","Document T.2 _ RULE METADATA REGISTRY","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document T.2 _ RULE METADATA REGISTRY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document T.2 _ RULE METADATA REGISTRY.docx"
"T.2","Document T.2-A _ Complete Rule Metadata Profiles (JSON)","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document T.2-A _ Complete Rule Metadata Profiles (JSON).docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document T.2-A _ Complete Rule Metadata Profiles (JSON).docx"
"T.2","Document T.2-A.1 _ Enterprise Metadata Schema","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document T.2-A.1 _ Enterprise Metadata Schema.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-27","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document T.2-A.1 _ Enterprise Metadata Schema.docx"
"T.3","Document T.3 _ RULE CHANGE GOVERNANCE","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document T.3 _ RULE CHANGE GOVERNANCE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-26","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document T.3 _ RULE CHANGE GOVERNANCE.docx"
"U","Document U _ EXCEPTION & ESCALATION ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules","Document U _ EXCEPTION & ESCALATION ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-07","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.02_Business_Rules\Document U _ EXCEPTION & ESCALATION ARCHITECTURE.docx"
"V","DOCUMENT V _ ENTERPRISE DATA DICTIONARY & DATA GOVERNANCE FRAMEWORK","03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture","DOCUMENT V _ ENTERPRISE DATA DICTIONARY & DATA GOVERNANCE FRAMEWORK.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-27","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture\DOCUMENT V _ ENTERPRISE DATA DICTIONARY & DATA GOVERNANCE FRAMEWORK.docx"
"W","DOCUMENT W _ MASTER DATA ARCHITECTURE & GOLDEN RECORD GOVERNANCE FRAMEWORK","03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture","DOCUMENT W _ MASTER DATA ARCHITECTURE & GOLDEN RECORD GOVERNANCE FRAMEWORK.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-07","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture\DOCUMENT W _ MASTER DATA ARCHITECTURE & GOLDEN RECORD GOVERNANCE FRAMEWORK.docx"
"W.1","DOCUMENT W.1 _ ENTERPRISE REFERENCE DATA REGISTRY","03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture","DOCUMENT W.1 _ ENTERPRISE REFERENCE DATA REGISTRY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-27","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture\DOCUMENT W.1 _ ENTERPRISE REFERENCE DATA REGISTRY.docx"
"W.2","DOCUMENT W.2 _ ENTERPRISE DATA QUALITY STANDARD","03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture","DOCUMENT W.2 _ ENTERPRISE DATA QUALITY STANDARD.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-28","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture\DOCUMENT W.2 _ ENTERPRISE DATA QUALITY STANDARD.docx"
"X","DOCUMENT X _ FUNCTIONAL REQUIREMENTS SPECIFICATION (FRS)","03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture","DOCUMENT X _ FUNCTIONAL REQUIREMENTS SPECIFICATION (FRS).docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-28","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture\DOCUMENT X _ FUNCTIONAL REQUIREMENTS SPECIFICATION (FRS).docx"
"X.1","DOCUMENT X.1 _ REQUIREMENTS TRACEABILITY MATRIX (RTM)","03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture","DOCUMENT X.1 _ REQUIREMENTS TRACEABILITY MATRIX (RTM).docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-28","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.03_Information_Architecture\DOCUMENT X.1 _ REQUIREMENTS TRACEABILITY MATRIX (RTM).docx"
"Y","DOCUMENT Y _ Part 01 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 01 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 01 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 02 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 02 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 02 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 03 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 03 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 03 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 04 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 04 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 04 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 05 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 05 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 05 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 06 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 06 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-29","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 06 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 07A _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 07A _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-29","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 07A _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 07B _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 07B _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-29","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 07B _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 07C _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 07C _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-29","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 07C _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 07D _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 07D _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-29","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 07D _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 08 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 08 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-29","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 08 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 09A _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 09A _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 09A _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 09B _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 09B _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 09B _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 09C _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 09C _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 09C _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 10 _ USER INTERFACE & USER EXPERIENCE SPECIFICATION","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 10 _ USER INTERFACE & USER EXPERIENCE SPECIFICATION.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 10 _ USER INTERFACE & USER EXPERIENCE SPECIFICATION.docx"
"Y.1","DOCUMENT Y.1 _ UI COMPONENT LIBRARY","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y.1 _ UI COMPONENT LIBRARY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y.1 _ UI COMPONENT LIBRARY.docx"
"Y.2","DOCUMENT Y.2 _ ACCESSIBILITY & DESIGN STANDARDS","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y.2 _ ACCESSIBILITY & DESIGN STANDARDS.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y.2 _ ACCESSIBILITY & DESIGN STANDARDS.docx"
"Z","DOCUMENT Z _ ENTERPRISE TECHNICAL ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z _ ENTERPRISE TECHNICAL ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z _ ENTERPRISE TECHNICAL ARCHITECTURE.docx"
"Z0","DOCUMENT Z0 _ TECHNICAL ARCHITECTURE PRINCIPLES","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z0 _ TECHNICAL ARCHITECTURE PRINCIPLES.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-09","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z0 _ TECHNICAL ARCHITECTURE PRINCIPLES.docx"
